task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b0/32330a	1916945	fastaIndex (GRCh38.primary_assembly.genome.chr19)	COMPLETED	0	2026-06-29 20:10:16.441	39.1s	763ms	80.3%	4.4 MB	39.2 MB	56.9 MB	225 B
1	a7/8d5942	1916933	index (GRCh38.primary_assembly.genome.chr19)	COMPLETED	0	2026-06-29 20:10:16.413	6m 3s	5m 25s	94.5%	1.9 GB	1.9 GB	1.5 GB	1.4 GB
3	0d/a178d1	1938936	mapping (sigmoid_colon_H3K4me3_1_run1)	COMPLETED	0	2026-06-29 20:16:19.456	26.3s	25.2s	73.1%	792.6 MB	1009.6 MB	473.2 MB	116.6 MB
4	dd/478e43	1938956	mapping (sigmoid_colon_H3K4me3_1_run2)	COMPLETED	0	2026-06-29 20:16:19.469	27s	25.9s	73.4%	786.7 MB	1003 MB	472.2 MB	115.8 MB
5	49/6a7d9d	1938919	mapping (sigmoid_colon_control_1_run1)	COMPLETED	0	2026-06-29 20:16:19.436	32.8s	31.6s	75.5%	873.3 MB	1.1 GB	498.1 MB	136.7 MB
6	51/995d1b	1938913	mapping (sigmoid_colon_control_1_run2)	COMPLETED	0	2026-06-29 20:16:19.423	33.8s	32.9s	75.5%	875.8 MB	1.1 GB	502.4 MB	140.4 MB
8	10/7e5821	1951153	mergeBam (sigmoid_colon_control_1_run1:sigmoid_colon_control_1_run2)	COMPLETED	0	2026-06-29 20:16:53.319	5.6s	4.6s	85.7%	6 MB	39.8 MB	12.4 MB	12.3 MB
7	b1/d6031a	1951145	mergeBam (sigmoid_colon_H3K4me3_1_run1:sigmoid_colon_H3K4me3_1_run2)	COMPLETED	0	2026-06-29 20:16:53.306	5.7s	4.7s	83.9%	6 MB	39.8 MB	11.5 MB	11.3 MB
10	ca/4112d3	1952331	markDup (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:16:59.044	19.3s	18.3s	92.4%	661.1 MB	3.8 GB	31.6 MB	11.7 MB
11	70/13d162	1954526	readCount (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:18.376	1.5s	528ms	66.8%	6 MB	45 MB	11.8 MB	215 B
12	f1/d9bb2c	1954532	model (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:18.386	4.1s	3.1s	83.9%	38.2 MB	128.4 MB	30.7 MB	15.6 MB
9	79/c0fd4e	1952286	markDup (sigmoid_colon_control_1)	COMPLETED	0	2026-06-29 20:16:58.974	28.9s	27.9s	95.0%	680.6 MB	3.8 GB	32.5 MB	12.9 MB
14	a5/7746dd	1955796	readCount (sigmoid_colon_control_1)	COMPLETED	0	2026-06-29 20:17:27.854	1.6s	620ms	64.2%	6 MB	45 MB	12.9 MB	215 B
13	80/92953a	1955800	model (sigmoid_colon_control_1)	COMPLETED	0	2026-06-29 20:17:27.864	4.2s	3.1s	84.6%	38.1 MB	128.3 MB	33.3 MB	17 MB
16	cb/5f145c	1956607	NRF (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:32.106	2.5s	1.5s	85.2%	10.3 MB	64.1 MB	70.9 MB	59.1 MB
15	37/4a6cdb	1956617	narrowPeakCallNoInput (sigmoid_colon_control_1)	COMPLETED	0	2026-06-29 20:17:32.113	2.9s	1.8s	89.4%	29 MB	136.3 MB	25.2 MB	4.1 MB
18	eb/ad9916	1956636	narrowPeakCall (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:32.121	4s	2.9s	91.7%	30.7 MB	137.9 MB	43.8 MB	5.3 MB
17	a4/cb7b00	1956658	broadPeakCall (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:32.128	4s	3s	90.8%	30.6 MB	137.9 MB	43.8 MB	2 MB
20	07/b8e955	1958036	pileupSignalTracks (sigmoid_colon_control_1)	COMPLETED	0	2026-06-29 20:17:35.086	1.5s	498ms	51.7%	4 MB	25.4 MB	3.9 MB	1.7 MB
24	68/a79bf6	1958531	pileupSignalTracks (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:36.121	1.5s	373ms	56.9%	3.9 MB	25.4 MB	3.7 MB	1.6 MB
23	0a/f18ddc	1958550	feSignalTracks (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:36.141	2.7s	1.1s	92.2%	17.9 MB	81.7 MB	10.8 MB	2.9 MB
26	8c/519637	1958541	FRiP (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:36.132	2.8s	1.5s	82.4%	15.6 MB	65.3 MB	24.5 MB	569.7 KB
27	78/e6a902	1958568	pvalSignalTracks (sigmoid_colon_H3K4me3_1)	COMPLETED	0	2026-06-29 20:17:36.152	3.1s	1.8s	78.6%	14 MB	54.6 MB	16.3 MB	6.4 MB
19	14/972fb7	1956599	zerone (sigmoid_colon_H3K4me3)	COMPLETED	0	2026-06-29 20:17:32.093	11.7s	10.8s	86.8%	20.4 MB	66.8 MB	56.2 MB	12.6 MB
